N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
12,8.201604,25.15405,6.139134939,2.865790649,2.62,18.34,3.93,14.41,0.885095119,7.240960658,3.10573141,0.01067031,0,0.01067031,0,0,0,1,0,0,0.199290051,27,10,5,2.836777722,2.747497043,0,0,0,0,stim
13,13.506124,27.158698,4.345875644,3.335690026,5.24,5.24,2.62,2.62,0.832802117,7.861211871,1.475480366,0.012393438,0.012393438,0,0,0,1,0,0,0,0.196119881,38,9,4,1.829187798,1.829187798,0.017927007,0.053271082,0,0,stim
14,4.651656,21.00598,7.548635255,3.852547845,18.34,31.44,20.96,10.48,3.434030294,52.74397754,5.767182917,2.473815988,0.013557999,0.796031491,1.664226498,0,0.005480601,0.321782822,0.672736576,0,0.352758285,15,5,6,9.565853133,9.008837661,3.544212836,0.175024463,0,0,stim
16,2.815476,9.231602,2.408754015,3.959769051,30.13,35.37,11.79,23.58,4.723248482,74.05168411,24.87754302,0.108715278,0,0.045590278,0,0.063125,0,0.419354839,0,0.580645161,0.25143075,15,5,8,10.91547892,10.91547892,0,0.335035671,0,0,stim
18,14.2814,40.784002,9.268277567,3.584190797,3.93,7.86,2.62,5.24,0.562426507,7.747987338,1.191297532,0,0,0,0,0,,,,,0,19,6,4,0,0,0,0,0,0,stim
20,6.610248,28.844388,10.01601671,2.962310561,6.55,14.41,2.62,10.48,1.012430191,12.49825724,5.047177538,0.109459952,0,0.042015155,0.006713587,0.060731209,0,0.383840433,0.061333733,0.554825834,0.177535945,36,3,3,7.370983034,6.909463076,0,0.032361809,0,0,stim
21,5.467736,21.543906,6.755095445,2.777273638,3.93,13.1,2.62,10.48,1.649764895,11.43548604,3.15028788,0,0,0,0,0,,,,,0.033898699,29,10,4,2.693498357,2.626,0,0,0,0,stim
22,7.54874,20.536532,4.446004328,2.603091663,5.24,6.55,3.93,2.62,0.653387666,6.617056353,1.453118436,0,0,0,0,0,,,,,0,28,13,6,2.02,2.02,0,0,0,0,stim
24,5.549344,19.609352,5.514104262,4.120633087,6.55,26.2,14.41,11.79,1.706083894,14.61178838,4.751632884,0.726392807,0.164465534,0,0.561927273,0,0.226414046,0,0.773585954,0,0.726392807,26,9,8,2.315241605,1.616,0,0,0,0,stim
25,8.56884,27.668344,7.109424321,3.583725875,2.62,6.55,2.62,3.93,0.626157939,6.078121525,1.486427203,0,0,0,0,0,,,,,0,44,11,1,2.65689518,2.65689518,0,0,0,0,stim
26,7.222308,21.099506,4.905222429,2.620587209,2.62,5.24,2.62,2.62,0.560018599,4.642906852,1.110760468,0,0,0,0,0,,,,,0,29,10,6,3.386137032,3.386137032,0,0,0,0,stim
28,5.671756,27.599664,10.68759989,3.183322047,5.24,11.79,3.93,7.86,0.930324197,9.277847776,2.48457577,1.810367441,0.588977939,0.075116017,1.120181818,0.026091667,0.325336131,0.041492139,0.618759371,0.01441236,1.43902848,28,7,4,3.363203929,2.892199855,0.216384089,0.478346363,0,0,stim
29,5.30452,18.434924,5.098315973,2.282391259,3.93,10.48,5.24,5.24,0.729820848,5.932213191,2.923287212,0.257839833,0.01662888,0.070940476,0.097148305,0.073122172,0.06449306,0.27513389,0.376777722,0.283595328,0,28,10,5,3.25715213,3.25715213,0,0,0,0,stim
31,14.240596,53.56737,16.03476571,4.268921141,3.93,5.24,1.31,3.93,0.545315325,8.251267784,1.90170071,0.126175296,0,0,0,0.126175296,0,0,0,1,0.053492411,29,3,2,0,0,0,0,0,0,stim
32,5.875776,21.386952,6.194734453,4.243232335,5.24,15.72,5.24,10.48,1.555365324,21.3032216,5.506676959,3.354505548,0.441155724,0.113278431,2.800071393,0,0.131511401,0.03376904,0.834719559,0,3.354505548,14,3,3,8.667157456,6.445034678,0.03395136,0,0,0,stim
39,1.754572,7.497634,2.549572782,2.301848004,3.93,13.1,3.93,7.86,1.114686251,11.92780172,5.89161772,0.055161538,0,0.055161538,0,0,0,1,0,0,0.109546154,29,17,10,8.865177586,8.582028898,0.057124505,0.094439144,0,0,stim
40,3.345928,13.605306,4.402406822,4.187499158,9.17,28.82,2.62,26.2,3.838623285,53.85345693,28.64032925,0.579172369,0.062283333,0.335630769,0.175404389,0.005853878,0.10753851,0.579500659,0.302853517,0.010107315,0.705632297,22,6,6,10.55240844,8.612878265,0,0.003935305,0,0,stim
46,3.998792,14.818114,4.369655356,3.394133207,2.62,6.55,2.62,3.93,0.450517207,4.592173121,0.722815356,0,0,0,0,0,,,,,0,13,5,7,2.258428657,2.258428657,0,0,0,0,stim
47,4.366028,19.602686,7.003816936,3.200313416,2.62,6.55,2.62,3.93,0.371271253,4.754434294,0.922654266,0,0,0,0,0,,,,,0,10,3,5,0,0,0,0,0,0,stim
49,4.0804,19.303524,7.267090972,4.512193314,2.62,3.93,1.31,2.62,0.410136998,5.500134795,0.834580452,0,0,0,0,0,,,,,0,23,8,2,5.670410214,5.670410214,0,0,0,0,stim
50,3.223516,11.199688,3.096507629,3.551635417,3.93,14.41,1.31,13.1,0.766949892,7.822809386,2.341964234,0.075290909,0,0,0,0.075290909,0,0,0,1,0.004583097,25,5,4,3.076772335,3.076772335,0,0.037211954,0,0,stim
51,1.550552,7.474202,2.867038088,4.636748987,10.48,15.72,3.93,11.79,1.750180364,25.76251495,8.239230616,0,0,0,0,0,,,,,0,14,7,3,11.23236253,11.23236253,0,0,0,0,stim
52,1.101708,5.24392,1.986258405,2.443203259,15.72,72.05,64.19,7.86,7.127346039,53.27645911,7.685305229,1.997657576,0.755357576,0,0,1.2423,0.378121649,0,0,0.621878351,0.216690909,13,8,6,12.34492836,11.55468251,0,0,0,0,stim
53,1.550552,8.802352,3.976502537,3.39578032,6.55,14.41,11.79,2.62,1.323359609,18.19333274,1.320822957,0.487514625,0,0.330811594,0,0.15670303,0,0.678567529,0,0.321432471,0.031742857,18,11,9,8.173079119,7.901273315,0.004190776,0.062640755,0,0,stim
55,2.978692,13.0189,4.528069866,4.146738554,2.62,3.93,1.31,2.62,0.380934507,5.100112221,0.812806407,0,0,0,0,0,,,,,0,17,10,5,6.46715548,6.46715548,0,0,0,0,stim
56,2.733868,14.609246,6.212525703,3.009540868,3.93,6.55,2.62,3.93,0.918830514,6.848588495,1.656680381,0,0,0,0,0,,,,,0,28,4,10,2.941164395,2.941164395,0,0,0,0,stim
57,1.468944,8.005462,3.471823968,4.778628305,14.41,61.57,52.4,9.17,2.114916325,30.07046849,6.178328307,0.178894814,0.008859649,0.005771429,0.158714286,0.005549451,0.049524349,0.032261576,0.88719333,0.031020746,0.025631322,14,7,5,10.80653982,10.75922618,0.179722521,0.037728623,0,0,stim
59,2.937888,14.893258,6.008060906,4.664180545,2.62,3.93,1.31,2.62,0.46632421,6.096403622,0.924706773,0.003366667,0,0,0.003366667,0,0,0,1,0,0.115964719,14,7,5,5.314136658,5.267515543,0,0,0,0,stim
61,1.346532,5.279068,1.646978651,3.486542237,3.93,6.55,1.31,3.93,0.558322966,8.427624116,2.655948133,0,0,0,0,0,,,,,0,14,4,8,7.474,7.474,0,0,0,0,stim
64,2.081004,14.41371,7.944540454,1.870716211,3.93,6.55,2.62,3.93,0.956486821,7.079596749,2.722598436,0,0,0,0,0,,,,,0,10,2,4,9.963981581,9.008837661,0,0,0,0,stim
68,1.754572,6.775888,2.082338742,3.38165904,2.62,7.86,5.24,2.62,0.941382647,10.05852791,1.122854119,1.384159091,0,0.983219697,0,0.400939394,0,0.710337203,0,0.289662797,0,17,11,4,8.995969791,8.418821058,0,0,0,0,stim
69,0.61206,3.369562,1.47619266,2.161161307,2.62,24.89,19.65,5.24,4.802740097,23.10400443,1.706888943,0,0,0,0,0,,,,,0,6,2,9,5.154448438,5.066134226,0,0,0,0,stim
70,1.101708,5.051818,1.843397631,5.201164023,11.79,28.82,20.96,7.86,4.314054489,62.52594295,2.649870009,0.553071695,0,0.308179487,0.075028571,0.169863636,0,0.557214354,0.135657948,0.307127698,0.451590743,12,7,10,10.9429692,10.78952325,0.008701742,0.151875942,0,0,stim
71,0.693668,4.23998,2.062367669,3.174304752,3.93,34.06,20.96,13.1,1.95004034,31.04719135,3.077952648,0.1111,0.0303,0,0.0808,0,0.272727273,0,0.727272727,0,0,6,3,5,7.509514686,7.474,0.036952203,0.04483762,0,0,stim
74,1.101708,4.959908,1.776932272,4.629597299,5.24,11.79,9.17,2.62,1.863013506,24.74794174,1.565458617,0,0,0,0,0,,,,,0,6,3,6,6.787320237,6.787320237,0,0,0,0,stim
75,2.325828,10.825382,4.009581101,3.174252623,6.55,40.61,3.93,36.68,1.866618514,23.01693032,14.69138991,3.058857143,0,2.063285714,0,0.995571429,0,0.674528302,0,0.325471698,0.233076923,36,14,9,11.03672406,8.418821058,0.126208282,0,0,0,stim
76,1.876984,7.268768,2.24001631,3.480394751,2.62,6.55,2.62,3.93,0.459201872,6.221368279,1.54039351,0,0,0,0,0,,,,,0,19,7,4,8.874216585,8.874216585,0,0,0,0,stim
77,1.0201,4.161402,1.35091098,2.638971377,2.62,13.1,5.24,7.86,0.867945194,9.409482884,4.44867776,0,0,0,0,0,,,,,0,10,5,4,9.596594604,9.596594604,0,0,0,0,stim
79,1.183316,7.684686,3.971381904,4.459394812,2.62,10.48,2.62,7.86,0.571563542,8.17089512,0.905147837,0,0,0,0,0,,,,,0,4,1,10,0,0,0,0,0,0,stim
80,1.0201,5.051818,1.990869441,2.077551884,6.55,24.89,19.65,5.24,1.662465692,20.5093291,3.921114607,0.503187179,0,0.209769231,0.293417949,0,0,0.416881112,0.583118888,0,0.020717949,6,2,6,11.76639163,11.76639163,0,0.202998765,0,0,stim
81,1.346532,7.074848,2.958064807,3.360718425,6.55,19.65,6.55,11.79,1.508509755,22.43919555,8.871028812,0.956133333,0,0.370333333,0,0.5858,0,0.387323944,0,0.612676056,0.312619048,13,10,5,9.134778596,9.134778596,0,0.067812232,0,0,stim
82,1.958592,9.595808,3.741185643,4.735533516,2.62,3.93,1.31,2.62,0.474600464,7.434743049,1.368464844,0,0,0,0,0,,,,,0,19,8,3,6.772274064,6.772274064,0,0,0,0,stim
83,2.978692,14.358564,5.507906428,3.40033218,2.62,7.86,3.93,3.93,0.391818374,5.612097464,1.438976907,1.129702503,0.954184211,0,0,0.175518293,0.844633174,0,0,0.155366826,0,20,11,4,7.693877224,7.283213576,0,0,0,0,stim
86,0.652864,3.895772,1.849926519,1.882049221,3.93,22.27,17.03,5.24,2.128424644,17.78049919,2.009956839,0.286166667,0.0505,0,0,0.235666667,0.176470588,0,0,0.823529412,0.235666667,2,1,6,10.12614174,9.97806394,0.462911716,0,0,0,stim
87,1.264924,5.773564,2.097073595,3.443400238,2.62,3.93,1.31,2.62,0.467962891,5.965989429,1.107677784,0,0,0,0,0,,,,,0,10,6,7,9.579571807,9.579571807,0,0,0,0,stim
89,1.22412,6.052526,2.381439045,2.871492156,2.62,10.48,2.62,7.86,1.126484036,9.828360809,5.074254886,0.338529644,0.312181818,0,0,0.026347826,0.922169811,0,0,0.077830189,0.037832776,6,5,6,9.576225118,9.141476467,0.308259916,0.019918075,0,0,stim
90,1.060904,6.30139,2.978425682,2.452993376,6.55,26.2,3.93,22.27,2.760801077,24.8390311,50.93120848,0.037033333,0,0,0.037033333,0,0,0,1,0,0.274536364,19,4,6,2.789031128,2.586862192,0,0,0,0,stim
92,0.856884,3.822244,1.356765893,2.785495111,2.62,15.72,3.93,11.79,1.084800959,15.56128372,16.69871809,0.02509697,0,0.006733333,0,0.018363636,0,0.268292683,0,0.731707317,0.269180303,6,3,6,11.2032631,11.2032631,0.011127773,0.253850491,0,0,stim
96,1.754572,9.08293,3.741716473,3.381706874,3.93,6.55,3.93,2.62,0.553360939,7.606269293,1.004814115,0,0,0,0,0,,,,,0,20,11,8,7.857254737,7.857254737,0,0,0,0,stim
97,0.61206,2.95021,1.131623609,2.711256921,3.93,17.03,2.62,14.41,1.938812733,16.75857028,22.58923402,0,0,0,0,0,,,,,0.113264286,13,3,10,7.378606788,7.283213576,0,0,0,0,stim
101,0.979296,5.447738,2.411618356,2.995190446,2.62,7.86,5.24,2.62,0.560502231,7.574241021,1.148969643,0.014428571,0.014428571,0,0,0,1,0,0,0,0.02525,7,2,5,12.18276747,12.16201052,0.12913544,0,0,0,stim
104,1.142512,6.43168,2.881231955,3.003574822,2.62,3.93,1.31,2.62,0.800880611,6.850439574,0.919501173,0.209053968,0,0,0.105809524,0.103244444,0,0,0.506134969,0.493865031,0.001980392,9,4,4,9.239097578,9.14593899,0.053496246,0.074084955,0,0,stim
105,0.530452,3.382894,1.716804426,2.900951265,3.93,10.48,6.55,3.93,1.358271837,15.8474146,2.43976545,0.053866667,0.033666667,0,0.0202,0,0.625,0,0.375,0,0.063966667,1,1,8,11.02777443,10.94907083,0.11109183,0.00736496,0,0,stim
109,0.81608,3.272602,1.044344501,3.228153139,5.24,27.51,5.24,22.27,1.200000048,10.36362267,12.08778363,0,0,0,0,0,,,,,0,18,5,2,3.724695961,3.724695961,0,0,0,0,stim
116,0.856884,4.995056,2.317121598,3.986765782,3.93,5.24,2.62,2.62,0.478147417,7.351292748,1.588790527,0,0,0,0,0,,,,,0,6,3,3,11.2032631,11.2032631,0,0,0,0,stim
117,0.938492,5.130396,2.231831165,4.720291528,2.62,47.16,32.75,14.41,1.701608062,23.15881424,1.485202022,0.370729412,0.370729412,0,0,0,1,0,0,0,0,12,7,4,12.09844463,11.43576932,0.217890736,0.047416959,0,0,stim
118,0.61206,3.140696,1.282472144,2.671006415,3.93,14.41,2.62,11.79,0.449315071,5.185671,6.980718452,0,0,0,0,0,,,,,0,7,3,5,8.019171029,8.019171029,0,0,0,0,stim
119,1.142512,5.63479,2.211489268,2.911880699,3.93,11.79,3.93,6.55,0.550880551,6.75710221,1.284145547,0,0,0,0,0,,,,,0,4,1,5,8.197394737,7.636027501,0,0,0,0,stim
122,0.367236,2.078176,0.935857096,5.278859198,2.62,6.55,2.62,3.93,0.624048769,8.846612877,0.989785838,0,0,0,0,0,,,,,0,2,1,10,3.238306347,3.238306347,0,0,0,0,stim
125,0.652864,2.992024,1.091182922,2.847087666,2.62,10.48,3.93,6.55,0.564212322,6.020929331,2.230874014,0.008416667,0,0,0,0.008416667,0,0,0,1,0,7,2,4,3.090005825,3.090005825,0,0,0,0,stim
127,0.530452,3.103932,1.44533474,2.363447243,3.93,3.93,1.31,2.62,0.994731307,4.714205279,1.464502439,0,0,0,0,0,,,,,0,15,2,3,3.843312113,3.843312113,0,0,0,0,stim
128,1.101708,4.846384,1.696521146,1.990916454,2.62,51.09,3.93,47.16,0.354642332,2.972186482,30.55927556,0,0,0,0,0,,,,,0,15,2,5,3.434,3.434,0,0,0,0,stim
129,0.979296,5.544698,2.498227293,3.262676048,5.24,11.79,6.55,5.24,0.621004522,9.73644237,2.025218146,2.346406349,0,1.506984127,0,0.839422222,0,0.642251981,0,0.357748019,0,2,1,8,6.642221034,6.46715548,0,0,0,0,stim
132,0.775276,4.23998,1.845276335,3.796913775,2.62,5.24,2.62,2.62,0.535688519,6.587323711,1.373180023,0,0,0,0,0,,,,,0,7,3,7,7.867634206,7.867634206,0,0,0,0,stim
133,0.571256,2.460764,0.843527587,2.676543658,2.62,7.86,5.24,2.62,0.581213295,6.529396887,1.325876717,0,0,0,0,0,,,,,0,7,4,4,6.570436211,6.570436211,0,0,0,0,stim
135,0.489648,2.856684,1.326265754,2.61040836,2.62,7.86,3.93,3.93,1.618721604,5.597379909,0.684854542,0,0,0,0,0,,,,,0,17,3,4,4.09018826,4.09018826,0,0,0,0,stim
136,0.856884,3.937586,1.439886324,5.231601029,1.31,2.62,1.31,2.62,0.31441617,6.458676298,0.888224284,0,0,0,0,0,,,,,0,6,3,10,7.699883895,7.699883895,0,0,0,0,stim
138,0.571256,2.81992,1.107727498,3.989114658,5.24,55.02,9.17,45.85,0.596868932,10.31123504,48.11401771,0,0,0,0,0,,,,,0,17,4,8,3.859204581,3.859204581,0,0,0,0,stim
140,0.489648,2.931828,1.396957287,4.538351611,2.62,5.24,2.62,2.62,0.488584518,9.045614066,0.507367882,0,0,0,0,0,,,,,0,1,1,4,15.20511309,15.20511309,0,0,0,0,stim
142,0.856884,4.767806,2.111082735,2.73390421,2.62,7.86,3.93,3.93,0.641226292,6.467976382,1.367602659,0,0,0,0,0,,,,,0,16,4,4,6.076810018,6.076810018,0,0,0,0,stim
149,0.448844,3.028788,1.626419093,2.397221195,7.86,24.89,17.03,6.55,2.313823223,13.85078392,4.227030065,0.0505,0,0,0.0505,0,0,0,1,0,0.067333333,13,2,10,3.503213216,3.434,0,0,0,0,stim
152,0.367236,2.442382,1.292623565,3.247026621,2.62,19.65,1.31,18.34,1.217656016,17.52916427,16.50441736,0.0202,0.0202,0,0,0,1,0,0,0,0,5,3,10,12.65526373,12.65526373,0,0,0,0,stim
153,0.40804,2.535908,1.254164156,2.490046481,3.93,7.86,2.62,5.24,0.352054775,4.352742844,2.139752814,0,0,0,0,0,,,,,0,10,1,2,6.714791136,6.714791136,0,0,0,0,stim
159,0.489648,2.041412,0.677278794,3.335690066,3.93,6.55,2.62,3.93,0.39611873,7.145498196,1.706642458,0,0,0,0,0,,,,,0,4,2,5,10.6448442,10.6448442,0,0,0,0,stim
162,0.571256,2.801538,1.093332849,4.410671716,2.62,5.24,1.31,3.93,0.503913939,5.594800384,1.164923955,0,0,0,0,0,,,,,0,12,3,3,6.576643521,6.576643521,0,0,0,0,stim
163,0.489648,3.387944,1.865428456,3.590228709,2.62,5.24,1.31,3.93,0.41438356,4.546035413,1.151268428,0,0,0,0,0,,,,,0,5,2,4,11.11550773,11.11550773,0,0,0,0,stim
169,0.367236,1.929504,0.806744947,2.898708622,2.62,5.24,2.62,2.62,0.987823486,8.740575558,0.592282131,0,0,0,0,0,,,,,0,6,2,9,9.794196995,9.58170131,0,0,0,0,stim
170,0.367236,2.591054,1.454781655,3.15944449,2.62,6.55,3.93,2.62,0.681887388,6.584195125,0.878781263,0,0,0,0,0,,,,,0,10,3,10,9.431474964,9.431474964,0,0,0,0,stim
171,0.40804,2.328858,1.057726571,3.958358475,3.93,6.55,2.62,3.93,0.491780818,8.1470729,2.11854919,0,0,0,0,0,,,,,0,5,4,8,8.970255738,8.970255738,0,0,0,0,stim
173,0.61206,3.065552,1.221837676,5.794221928,3.93,6.55,1.31,5.24,0.643835604,9.920004277,1.6058613,0,0,0,0,0,,,,,0,13,7,5,10.75922618,10.75922618,0,0,0,0,stim
178,0.448844,2.627818,1.224292751,2.438861402,2.62,5.24,1.31,3.93,0.33001247,2.766492359,1.48680045,0,0,0,0,0,,,,,0,10,3,8,9.431474964,9.431474964,0,0,0,0,stim
180,0.489648,2.931828,1.396957287,5.295583278,2.62,5.24,1.31,3.93,0.496575356,8.693370794,1.245288244,0,0,0,0,0,,,,,0,4,3,8,12.57277599,12.57277599,0,0,0,0,stim
183,0.448844,2.171702,0.836171141,2.045876346,2.62,3.93,1.31,2.62,0.373599023,2.244786733,0.969725981,0,0,0,0,0,,,,,0,6,1,3,4.351213164,4.351213164,0,0,0,0,stim
190,0.40804,1.775782,0.614988077,3.008198604,2.62,5.24,2.62,2.62,0.504109561,4.282803981,1.219032253,0,0,0,0,0,,,,,0,11,2,3,7.352910988,7.352910988,0,0,0,0,stim
194,0.367236,1.929504,0.806744947,2.444292545,2.62,3.93,1.31,2.62,0.385083765,2.898637103,0.868714488,0,0,0,0,0,,,,,0,13,1,4,6.076810018,6.076810018,0,0,0,0,stim
196,0.367236,2.101608,0.95708016,4.6965539,3.93,5.24,2.62,2.62,0.238965005,4.6965539,1.317861284,0,0,0,0,0,,,,,0,13,1,5,8.970255738,8.970255738,0,0,0,0,stim
1,31.745512,66.385684,11.04731325,3.679368512,6.55,10.48,2.62,6.55,1.104922056,11.59988637,2.745838883,0.010516336,0.010516336,0,0,0,1,0,0,0,0.088098441,41,4,4,0,0,0,0,0,0,stim
3,30.072548,72.03118,13.72969747,3.81408957,5.24,7.86,2.62,3.93,0.801973403,9.569690244,1.628339891,0.013266301,0,0.004002387,0.009263914,0,0,0.301695789,0.698304211,0,0,40,4,5,0,0,0,0.032969632,0,0.032969632,stim
4,30.847824,87.143002,19.58982857,3.324222479,3.93,5.24,2.62,2.62,0.625715137,5.738585475,1.408349677,0.008727855,0.000636174,0,0,0.008091682,0.072890032,0,0,0.927109968,0,46,4,10,0,0,0,0,0,0,stim
5,12.44522,48.007522,14.73690001,2.729762515,3.93,7.86,5.24,2.62,0.567572415,5.962126959,1.219822568,2.364235772,0.193551785,0.293402947,0.55608046,1.32120058,0.081866533,0.124100545,0.235205163,0.55882776,0,37,14,3,0.0505,0,0,6.082897104,0,0,stim
6,24.196772,56.235588,10.40052314,2.950497998,3.93,6.55,2.62,3.93,0.638545215,6.412468194,1.532123851,0,0,0,0,0,,,,,0,36,7,3,0,0,0,0,0,0,stim
9,9.262508,39.26072,13.24274632,3.17370549,2.62,3.93,1.31,2.62,0.4122262,4.26992441,0.969506124,0,0,0,0,0,,,,,0,32,15,5,1.818,1.818,0,0,0,0,stim
10,10.935472,38.423632,10.74359013,3.390983506,3.93,5.24,2.62,2.62,1.034757733,10.90500443,1.012699787,0.070571282,0,0.02292,0.047651282,0,0,0.324778002,0.675221998,0,0,30,13,9,2.175606582,2.175606582,0,0,0,0,stim
15,13.710144,40.560388,9.548877486,1.971806141,3.93,15.72,5.24,10.48,0.680487514,5.369554965,2.179293444,9.717185721,2.239616663,0,0,7.477569058,0.230479969,0,0,0.769520031,0.048897247,25,10,5,0.204786339,0,0.527514112,0,0.527514112,0,stim
17,9.099292,30.28283,8.020019996,2.865818363,5.24,9.17,5.24,3.93,0.742551804,8.047690671,1.142767899,0.298986541,0,0.118882626,0.180103916,0,0,0.397618653,0.602381347,0,0,31,15,2,1.818,1.818,0,0.284393465,0,0,stim
19,13.342908,39.613008,9.358694868,3.643563511,2.62,6.55,2.62,3.93,0.522014201,6.163506483,1.329653417,0,0,0,0,0,,,,,0,39,11,2,0,0,0,0,0,0,stim
23,5.30452,26.266666,10.35032408,2.370667013,3.93,6.55,2.62,3.93,0.548788249,5.025004174,1.693869189,0,0,0,0,0,,,,,1.331818726,30,13,8,1.916340262,1.916340262,0,0,0,0,stim
30,6.406228,25.660262,8.179182854,3.559221008,2.62,9.17,5.24,3.93,0.713986635,9.316615557,1.096849224,4.232789337,0.002597143,1.985398148,2.244794046,0,0.000613577,0.469051963,0.53033446,0,0,22,13,5,6.504901844,6.504901844,0.042015095,0.171479885,0,0,stim
33,10.323412,40.045692,12.36170802,3.716641542,2.62,5.24,1.31,3.93,0.528886259,5.909020511,1.632353881,7.602001661,0,2.962265227,4.639736434,0,0,0.389669111,0.610330889,0,7.602001661,21,11,6,2.355704566,2.355704566,0,0,0,0,stim
34,4.814872,17.564506,5.098909096,2.853182608,3.93,3.93,1.31,2.62,0.407824486,4.857143558,1.602338668,0.563163763,0,0,0.037407407,0.525756356,0,0,0.066423676,0.933576324,0.295261868,27,11,6,2.108941915,2.108941915,0,0,0,0,stim
35,7.426328,30.671882,10.08084317,2.943988135,3.93,5.24,1.31,3.93,0.528977871,5.784989742,1.997584601,2.066946225,0.647654749,0,0,1.419291476,0.313338945,0,0,0.686661055,0,25,14,4,3.63760763,2.65689518,0,0,0,0,stim
36,6.447032,21.216464,5.556180164,3.812657612,3.93,6.55,3.93,2.62,0.657187521,7.597789765,1.358665414,0,0,0,0,0,,,,,0,28,14,9,2.440775287,2.440775287,0,0,0,0,stim
37,4.243616,11.281498,2.38664376,6.506573599,3.93,5.24,2.62,2.62,0.847866178,14.58916252,1.565894321,0,0,0,0,0,,,,,0,19,7,9,9.390284554,9.390284554,0,0,0,0,stim
38,4.366028,16.575514,5.007692219,2.179792827,2.62,13.1,5.24,7.86,0.480220199,3.635008271,1.059206926,0,0,0,0,0,,,,,0,15,4,8,0,0,0,0,0,0,stim
41,7.589544,32.227282,10.88984784,3.309733018,2.62,6.55,2.62,3.93,0.492487818,5.478341308,1.264177292,0.003081212,0.003081212,0,0,0,1,0,0,0,0.048040977,29,15,7,5.702700062,5.702700062,0.054680357,0,0,0,stim
42,6.651052,34.803186,14.49231609,2.952364423,3.93,6.55,2.62,3.93,1.136566162,9.698671867,1.156296824,0,0,0,0,0,,,,,0,33,15,6,5.509236223,2.710114389,0,0,0,0,stim
43,2.24422,11.20292,4.450278365,3.60236987,2.62,9.17,5.24,3.93,1.50909102,14.62470605,1.570483769,0,0,0,0,0,,,,,0,13,2,8,1.684155937,1.212,0,0,0,0,stim
44,2.366632,9.235036,2.867718969,4.103315056,2.62,13.1,2.62,10.48,0.994331598,15.76353454,6.93077432,0.155721169,0.014909524,0.082008547,0.025136432,0.033666667,0.095745003,0.526637113,0.16141949,0.216198394,0.11197704,17,5,5,9.773544086,9.773544086,0.084187342,0.090192052,0,0,stim
58,9.711352,49.96571,20.4575945,3.294088452,2.62,5.24,2.62,2.62,0.452112406,4.977584627,1.02393364,0,0,0,0,0,,,,,0.129992849,42,14,8,0,0,0,0,0,0,stim
65,1.754572,7.322096,2.431586809,3.084890274,2.62,7.86,2.62,5.24,0.596049666,8.990745779,2.225017045,0.077914286,0,0.008657143,0.069257143,0,0,0.111111111,0.888888889,0,0,4,1,9,2.941164395,2.941164395,0,0,0,0,stim
66,2.366632,12.848412,5.550834926,1.857518008,6.55,44.54,13.1,31.44,2.069437981,14.86425341,23.05787752,0.437005601,0,0.011653846,0.418618421,0.006733333,0,0.026667498,0.957924614,0.015407888,0.026475924,16,5,9,0.012625,0,0,0,0,0,stim
73,3.998792,18.700554,6.959375447,2.173302501,2.62,9.17,3.93,5.24,0.492871106,4.349353231,1.420047392,0.698232155,0.008031508,0.407193315,0.283007331,0,0.011502633,0.583177547,0.40531982,0,0.297261364,18,6,4,0,0,0,0,0,0,stim
88,0.775276,5.218872,2.7956776,2.714549552,2.62,5.24,1.31,3.93,0.512617171,4.196380279,1.65725812,0,0,0,0,0,,,,,0,21,1,4,6.835245424,6.835245424,0,0,0,0,stim
91,1.550552,7.36391,2.783048306,2.825438963,3.93,9.17,2.62,6.55,0.7451334,7.421193406,2.012486695,0.193583333,0,0.067333333,0.12625,0,0,0.347826087,0.652173913,0,0.3535,24,5,5,7.408196812,7.408196812,0,0,0,0,stim
94,1.42814,5.658222,1.783936201,5.678836731,3.93,5.24,1.31,2.62,1.185518503,17.77495799,2.315656437,0.049591534,0.014962963,0,0.034628571,0,0.301724138,0,0.698275862,0,0.072142857,11,2,9,11.42184588,10.85926149,0,0,0,0,stim
95,3.917184,23.264542,10.99525177,3.158688151,2.62,5.24,2.62,2.62,0.538241982,6.135490229,1.25975657,6.579869029,0,2.245722925,4.334146104,0,0,0.341302071,0.658697929,0,0,24,10,4,1.414,1.414,0,0,0,0,stim
